epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1175.56,0.54191,0.57346,1.0836,0.90874,0.91316,0.94793,0.77028,0.71043,0.51612,1.11795,0.000234068,0.000234068,0.000234068
77,1190.72,0.53105,0.56842,1.07148,0.92069,0.90777,0.95081,0.76935,0.70059,0.51207,1.11054,0.000225068,0.000225068,0.000225068
78,1205.86,0.53137,0.5562,1.06918,0.91915,0.90943,0.95384,0.78335,0.68542,0.50811,1.096,0.000216069,0.000216069,0.000216069
79,1221.09,0.52244,0.56142,1.07029,0.91274,0.91432,0.94065,0.76255,0.71069,0.53132,1.12266,0.00020707,0.00020707,0.00020707
80,1236.3,0.51746,0.54905,1.06283,0.92733,0.91844,0.9519,0.7861,0.68336,0.50258,1.09426,0.000198071,0.000198071,0.000198071
81,1251.52,0.53361,0.55866,1.06898,0.92833,0.9143,0.95007,0.77892,0.68395,0.50316,1.09542,0.000189072,0.000189072,0.000189072
82,1267.02,0.52718,0.55128,1.07312,0.9156,0.9023,0.94724,0.78017,0.69082,0.51122,1.11109,0.000180073,0.000180073,0.000180073
83,1284.06,0.52522,0.54839,1.06348,0.91443,0.91541,0.94768,0.77445,0.68635,0.51328,1.1034,0.000171074,0.000171074,0.000171074
84,1305.36,0.51871,0.54059,1.06996,0.93836,0.88849,0.95055,0.7725,0.68996,0.50772,1.10834,0.000162075,0.000162075,0.000162075
85,1324.13,0.51094,0.52657,1.05963,0.91187,0.9222,0.95173,0.77497,0.6937,0.50347,1.10951,0.000153076,0.000153076,0.000153076
86,1342.51,0.51905,0.54481,1.06649,0.92884,0.9068,0.94355,0.77358,0.67802,0.50084,1.09713,0.000144077,0.000144077,0.000144077
87,1361.05,0.50816,0.53693,1.05466,0.91414,0.90944,0.94495,0.7754,0.69595,0.50535,1.11355,0.000135077,0.000135077,0.000135077
88,1378.97,0.51314,0.53771,1.05925,0.8993,0.91067,0.94168,0.77297,0.6777,0.50289,1.09443,0.000126078,0.000126078,0.000126078
89,1396.96,0.5123,0.53668,1.06194,0.90664,0.89919,0.94218,0.76868,0.68658,0.51024,1.10144,0.000117079,0.000117079,0.000117079
90,1414.47,0.49851,0.52085,1.05448,0.91756,0.90237,0.94773,0.77872,0.69224,0.50139,1.10464,0.00010808,0.00010808,0.00010808
91,1447.76,0.44351,0.43759,1.03394,0.92479,0.90275,0.94619,0.77488,0.68324,0.48948,1.10289,9.9081e-05,9.9081e-05,9.9081e-05
92,1465.91,0.4144,0.40613,1.00702,0.91818,0.92061,0.94938,0.77591,0.67202,0.49169,1.09428,9.00819e-05,9.00819e-05,9.00819e-05
93,1483.45,0.41752,0.39453,1.00649,0.91868,0.91431,0.94898,0.77834,0.67683,0.49233,1.10375,8.10828e-05,8.10828e-05,8.10828e-05
94,1500.9,0.4092,0.39631,1.01746,0.91505,0.92532,0.95208,0.78246,0.6628,0.47877,1.08624,7.20837e-05,7.20837e-05,7.20837e-05
95,1518.39,0.41268,0.39085,1.02036,0.92859,0.9074,0.94998,0.79079,0.65362,0.48221,1.07489,6.30846e-05,6.30846e-05,6.30846e-05
96,1535.88,0.40543,0.38923,1.00857,0.91349,0.9188,0.94843,0.78631,0.6523,0.4787,1.075,5.40855e-05,5.40855e-05,5.40855e-05
97,1553.35,0.40033,0.37983,1.00352,0.93558,0.90481,0.95118,0.79183,0.64883,0.47515,1.0761,4.50864e-05,4.50864e-05,4.50864e-05
98,1570.91,0.39378,0.37934,0.99346,0.93633,0.90229,0.94851,0.78565,0.65559,0.47869,1.08345,3.60873e-05,3.60873e-05,3.60873e-05
99,1588.41,0.39438,0.37757,1.00007,0.934,0.90243,0.94667,0.78811,0.64812,0.48222,1.07786,2.70882e-05,2.70882e-05,2.70882e-05
100,1605.97,0.39123,0.37103,0.99845,0.93207,0.89826,0.94872,0.78552,0.65337,0.48312,1.07816,1.80891e-05,1.80891e-05,1.80891e-05
